Year,Scenario,Africa,Asia-Pacific Developed,Eastern Asia,Europe,Eurasia,Latin America and Caribbean,Middle East,North America,Southern Asia,South-East Asia and Developing Pacific,Global
2031,ssp126,-2.152555847,-2.049038076,-3.415670395,-4.301027775,-2.812693596,-2.843447018,-4.810777092,-5.291149807,-4.269835186,-1.576091719,-2.748954097
2032,ssp126,-1.776726627,-2.20695343,-3.674040794,-4.747624397,-3.210683346,-2.731354046,-4.631263161,-5.57415266,-3.895887089,-2.477942419,-2.894025061
2033,ssp126,-2.421252632,-2.393155718,-3.456606865,-5.230434895,-3.746132851,-3.103209305,-5.859581375,-6.089605522,-3.858938885,-1.48975749,-3.185127578
2034,ssp126,-2.300352478,-2.342768097,-3.937514305,-5.209192753,-3.561571121,-3.13122921,-5.595857048,-5.848216724,-4.016170216,-2.38550849,-3.225813854
2035,ssp126,-2.00538435,-2.409980202,-4.122270584,-5.489974976,-3.786729813,-2.957822132,-5.380593681,-6.123087597,-3.771911335,-2.909287882,-3.343018743
2036,ssp126,-2.339239502,-2.454112196,-4.086161613,-5.659156322,-3.739647388,-3.229039955,-5.640550041,-6.356166077,-4.26085825,-2.574384165,-3.507793903
2037,ssp126,-2.556729221,-2.573511267,-4.21317482,-5.683786869,-3.994864464,-3.27958374,-6.015706444,-6.47233839,-4.396609974,-2.234716368,-3.622693766
2038,ssp126,-2.566317463,-2.657704258,-4.35410881,-5.843916893,-4.042416096,-3.503230619,-6.321051979,-6.685013962,-4.580254269,-2.623154593,-3.744994414
2039,ssp126,-2.729434872,-2.871141338,-4.420972824,-6.072455406,-4.259438515,-3.231148767,-6.484937096,-6.670106602,-4.266729069,-2.853243303,-3.868030106
2040,ssp126,-2.419457817,-3.212431574,-4.661115646,-6.301342487,-4.579852104,-3.392133522,-5.764373207,-7.037417126,-3.898174,-3.600136232,-4.034515319
2041,ssp126,-2.536563301,-3.058095598,-4.961960793,-6.29392767,-4.703512192,-3.654948997,-6.118281746,-7.316937637,-3.657075596,-3.37623353,-4.159084323
2042,ssp126,-3.111063385,-3.588907862,-5.244926453,-7.080546379,-4.940320492,-4.249956417,-7.360760117,-7.655504417,-4.498518658,-2.607340765,-4.550285473
